,Unnamed: 0,Answer ID,Which of the following options do you identify with most?,Select the center where you study:,"The subjects you are currently taking, for the most part, correspond to which year?",How many days per week do you usually come to the university?,Please indicate the postal code from where you usually start your trip to the university:,"Indicate the modes of transport you use to go to the UPC. (only mark the stages that last more than 5 minutes, up to a maximum of 3 stages) [Stage 1]","Indicate the modes of transport you use to go to the UPC. (only mark the stages that last more than 5 minutes, up to a maximum of 3 stages) [Stage 2]","Indicate the modes of transport you use to go to the UPC. (only mark the stages that last more than 5 minutes, up to a maximum of 3 stages) [Stage 3]",Do you take the same route for coming and going?,"Indicate the modes of transport you use to return from the UPC. (only mark the stages that last more than 5 minutes, up to a maximum of 3 stages) [Stage 1]","Indicate the modes of transport you use to return from the UPC. (only mark the stages that last more than 5 minutes, up to a maximum of 3 stages) [Stage 2]","Indicate the modes of transport you use to return from the UPC. (only mark the stages that last more than 5 minutes, up to a maximum of 3 stages) [Stage 3]",Please indicate the main reasons why you use the transport combinations you have marked in the previous question. (Select up to a maximum of two options) [It's the fastest],Please indicate the main reasons why you use the transport combinations you have marked in the previous question. (Select up to a maximum of two options) [It's the cheapest],Please indicate the main reasons why you use the transport combinations you have marked in the previous question. (Select up to a maximum of two options) [It's the most comfortable],Please indicate the main reasons why you use the transport combinations you have marked in the previous question. (Select up to a maximum of two options) [It's the only option],Please indicate the main reasons why you use the transport combinations you have marked in the previous question. (Select up to a maximum of two options) [It has a lower environmental impact],Please indicate the main reasons why you use the transport combinations you have marked in the previous question. (Select up to a maximum of two options) [It's the healthiest],Please indicate the main reasons why you use the transport combinations you have marked in the previous question. (Select up to a maximum of two options) [I need the private vehicle for other trips],Please indicate the main reasons why you use the transport combinations you have marked in the previous question. (Select up to a maximum of two options) [Other],MitjaPersones
848,848,1776,Woman,School of Architecture of Vallès (ETSAV),Third,5,8232.0,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
862,862,1816,Man,School of Telecommunications and Aerospace Engineering of Castelldefels (EETAC),Second,5,8850.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
863,863,1817,Woman,Barcelona School of Informatics (FIB),First,1,8720.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,1,0,0,0,0,0,DATATHON,2.0
864,864,1818,Man,Higher Technical School of Architecture of Barcelona (ETSAB),Third,5,8970.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
865,865,1821,Man,Higher Technical School of Telecommunications Engineering of Barcelona (ETSETB),Second,2,8970.0,Scooter (or other micro-mobility devices) with non-renewable charging,Scooter (or other micro-mobility devices) with non-renewable charging,Scooter (or other micro-mobility devices) with non-renewable charging,Yes,DATATHON,DATATHON,DATATHON,1,1,0,0,0,0,0,DATATHON,2.0
874,874,1839,Man,School of Engineering of Barcelona East (EEBE),Fourth,1,17252.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,0,0,0,1,0,0,0,DATATHON,2.0
879,879,1846,Man,Higher Technical School of Telecommunications Engineering of Barcelona (ETSETB),Second,5,8173.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,0,DATATHON,2.0
884,884,1854,Man,Barcelona School of Informatics (FIB),Fourth,2,8913.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
886,886,1857,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Third,4,8792.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,0,0,0,1,0,0,1,DATATHON,2.0
889,889,1862,Woman,School of Architecture of Vallès (ETSAV),Fourth,2,8915.0,On foot,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,DATATHON,DATATHON,DATATHON,0,1,0,0,0,0,0,DATATHON,1.3333333333333333
892,892,1866,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Third,1,8980.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,0,DATATHON,2.0
895,895,1870,Woman,Faculty of Nautical of Barcelona (FNB),Third,4,8787.0,Combustion or electric motorcycle with non-renewable source charging,Bus,Underground,Yes,DATATHON,DATATHON,DATATHON,0,0,0,1,0,0,0,DATATHON,1.3333333333333333
900,900,1879,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Fourth,3,8530.0,DATATHON,DATATHON,Combustion or electric motorcycle with non-renewable source charging,Yes,DATATHON,DATATHON,DATATHON,0,0,1,0,0,0,1,DATATHON,2.0
908,908,1889,Man,School of Telecommunications and Aerospace Engineering of Castelldefels (EETAC),Fourth,4,8026.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
913,913,1896,Man,School of Engineering of Barcelona East (EEBE),Fourth,4,8025.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",On foot,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,1,DATATHON,1.3333333333333333
920,920,1910,Man,Polytechnic School of Engineering of Manresa (EPSEM),Third,5,8203.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
922,922,1914,Man,School of Engineering of Barcelona East (EEBE),Fourth,5,8304.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
929,929,1926,Man,Barcelona School of Informatics (FIB),Fourth,1,8024.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
938,938,1944,Man,Polytechnic School of Engineering of Manresa (EPSEM),First,5,8700.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
941,941,1948,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Second,5,8180.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,0,0,0,1,0,0,0,DATATHON,2.0
942,942,1949,Man,School of Agricultural Engineering and Biosystems of Barcelona (EEABB),First,5,8830.0,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,0,DATATHON,2.0
943,943,1950,Woman,School of Architecture of Vallès (ETSAV),Fourth,7,8172.0,Scooter (or other micro-mobility devices) with renewable charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,0,DATATHON,2.0
945,945,1953,Woman,School of Engineering of Barcelona East (EEBE),Fourth,4,8918.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
948,948,1956,Man,School of Engineering of Barcelona East (EEBE),Third,5,8026.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,1,DATATHON,2.0
954,954,1968,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",First,5,8191.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,1,0,0,1,0,0,0,DATATHON,2.0
959,959,1974,Man,Faculty of Nautical of Barcelona (FNB),Fourth,3,8028.0,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
960,960,1975,Woman,School of Telecommunications and Aerospace Engineering of Castelldefels (EETAC),Third,1,12600.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Renfe,Renfe,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,1.3333333333333333
973,973,2000,Man,School of Engineering of Barcelona East (EEBE),Fourth,2,8320.0,Scooter (or other micro-mobility devices) with non-renewable charging,Renfe,Scooter (or other micro-mobility devices) with non-renewable charging,Yes,DATATHON,DATATHON,DATATHON,1,1,0,0,0,0,0,DATATHON,1.6666666666666667
974,974,2001,Man,Higher Technical School of Telecommunications Engineering of Barcelona (ETSETB),First,2,DATATHON,Electric vehicle (with Zero label and renewable source charging),DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,0,DATATHON,2.0
978,978,2013,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",First,5,8105.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",FGC,On foot,No,FGC,Renfe,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",0,0,0,1,0,0,0,DATATHON,1.1666666666666665
979,979,2014,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Second,5,8310.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Renfe,Underground,Yes,DATATHON,DATATHON,DATATHON,0,0,0,1,0,0,0,"There are not enough parking spaces in the university area. If it was easier to park I would come more often by car, since the combinations in public transport that I have are hellish",1.3333333333333333
983,983,2019,Man,School of Telecommunications and Aerospace Engineering of Castelldefels (EETAC),First,1,8820.0,Electric vehicle (with Zero label and renewable source charging),DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
984,984,2021,Woman,Polytechnic School of Engineering of Vilanova i la Geltrú (EPSEVG),Second,5,8870.0,Combustion or electric motorcycle with non-renewable source charging,Renfe,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,1.5
986,986,2024,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),First,5,8006.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,No,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
995,995,2044,Man,Barcelona School of Informatics (FIB),First,2,17520.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,1,DATATHON,2.0
996,996,2047,Woman,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Fourth,2,8420.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Renfe,Underground,Yes,DATATHON,DATATHON,DATATHON,0,1,0,0,0,0,0,DATATHON,1.3333333333333333
1002,1002,2057,Man,Barcelona School of Informatics (FIB),Third,3,8755.0,Bus,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,1,0,0,0,DATATHON,1.5
1003,1003,2058,Man,School of Engineering of Barcelona East (EEBE),Third,5,8001.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
1017,1017,2080,Man,School of Engineering of Barcelona East (EEBE),First,3,8207.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,0,0,0,1,0,0,1,DATATHON,2.0
1021,1021,2085,Woman,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",First,5,8210.0,Electric vehicle (with Zero label and renewable source charging),Electric vehicle (with Zero label and renewable source charging),Electric vehicle (with Zero label and renewable source charging),Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,1,DATATHON,2.0
1023,1023,2089,Man,School of Engineering of Barcelona East (EEBE),Fourth,5,8006.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,0,DATATHON,2.0
1025,1025,2093,Woman,School of Architecture of Vallès (ETSAV),Fourth,4,8100.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Renfe,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,0,0,0,1,0,0,0,DATATHON,1.6666666666666667
1034,1034,2115,Woman,Faculty of Optics and Optometry of Terrassa (FOOT),Third,5,8260.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
1036,1036,2120,Man,Barcelona School of Informatics (FIB),First,2,8211.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
1047,1047,2141,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Second,2,8320.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,1,DATATHON,2.0
1048,1048,2143,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",First,4,8795.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,0,0,1,1,0,0,0,DATATHON,2.0
1050,1050,2148,Woman,School of Engineering of Barcelona East (EEBE),First,5,8330.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,0,0,1,0,0,0,0,DATATHON,2.0
1051,1051,2150,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Fourth,5,8015.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
1054,1054,2154,Man,School of Architecture of Vallès (ETSAV),Second,2,8192.0,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
1062,1062,2170,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",First,5,8415.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
1064,1064,2173,Man,Polytechnic School of Engineering of Manresa (EPSEM),Fourth,5,25280.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,0,0,0,1,0,0,1,DATATHON,2.0
1065,1065,2174,Man,Polytechnic School of Engineering of Manresa (EPSEM),Fourth,5,8589.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,0,0,0,1,0,0,0,DATATHON,2.0
1066,1066,2176,Man,Higher Technical School of Telecommunications Engineering of Barcelona (ETSETB),Second,5,8490.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
1069,1069,2185,Woman,School of Telecommunications and Aerospace Engineering of Castelldefels (EETAC),Second,5,8850.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
1072,1072,2188,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",First,5,8760.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,0,"Coming by public transport takes me about 2 hours by train when by car I am in 20 min or 30,",2.0
1076,1076,2197,Man,Barcelona School of Informatics (FIB),Fourth,2,8800.0,Scooter (or other micro-mobility devices) with renewable charging,Renfe,Scooter (or other micro-mobility devices) with renewable charging,Yes,DATATHON,DATATHON,DATATHON,0,0,0,1,0,0,0,DATATHON,1.6666666666666667
1085,1085,2216,Woman,Polytechnic University School of Building of Barcelona (EPSEB),Third,4,8014.0,Bus,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,0,1,0,0,1,0,0,DATATHON,1.6666666666666667
1087,1087,2219,Man,Barcelona School of Informatics (FIB),First,1,8205.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,0,0,0,0,0,0,1,DATATHON,2.0
1089,1089,2222,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Third,5,8330.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,0,DATATHON,2.0
1094,1094,2235,Man,"Higher Technical School of Engineering of Roads, Canals and Ports of Barcelona (ETSECCPB)",Fourth,5,8950.0,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,DATATHON,DATATHON,DATATHON,1,1,0,0,0,0,0,DATATHON,2.0
1097,1097,2239,Woman,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),First,5,DATATHON,Electric motorcycle,Electric motorcycle,Electric motorcycle,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
1107,1107,2263,Man,"Higher Technical School of Engineering of Roads, Canals and Ports of Barcelona (ETSECCPB)",Fourth,5,8360.0,Electric vehicle (with Zero label and renewable source charging),Renfe,Underground,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,0,DATATHON,1.3333333333333333
1110,1110,2267,Woman,Polytechnic School of Engineering of Manresa (EPSEM),Second,5,8251.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
1118,1118,2285,Man,Polytechnic School of Engineering of Manresa (EPSEM),Third,5,25001.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,1,DATATHON,2.0
1122,1122,2291,Woman,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Third,5,8691.0,Combustion or electric motorcycle with non-renewable source charging,Renfe,FGC,Yes,DATATHON,DATATHON,DATATHON,0,0,0,1,0,0,0,Poor communication from Terrassa with the town where I live,1.3333333333333333
1124,1124,2294,Woman,Polytechnic University School of Building of Barcelona (EPSEB),Fourth,1,8304.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
1139,1139,2331,Man,Barcelona School of Informatics (FIB),Fourth,1,8025.0,Scooter (or other micro-mobility devices) with non-renewable charging,Underground,Scooter (or other micro-mobility devices) with non-renewable charging,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,1.6666666666666667
1144,1144,2344,Man,Barcelona School of Informatics (FIB),Third,4,8023.0,Underground,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",No,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",On foot,On foot,1,1,0,0,0,0,0,DATATHON,1.1666666666666667
1145,1145,2345,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",First,4,8025.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,0,DATATHON,2.0
1149,1149,2353,Woman,School of Engineering of Barcelona East (EEBE),Third,4,8911.0,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,1,DATATHON,2.0
1153,1153,2359,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Fourth,3,43005.0,Combustion or electric motorcycle with non-renewable source charging,Renfe,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,0,1,0,1,0,0,0,DATATHON,1.6666666666666667
1154,1154,2370,Man,School of Engineering of Barcelona East (EEBE),Fourth,4,8021.0,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
1167,1167,2399,Man,"School of Industrial, Aerospace and Audiovisual Engineering of Terrassa (ESEIAAT)",Second,3,8757.0,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),","Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
1168,1168,2406,Woman,Polytechnic School of Engineering of Vilanova i la Geltrú (EPSEVG),Fourth,2,17458.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
1171,1171,2416,Man,Higher Technical School of Industrial Engineering of Barcelona (ETSEIB),Third,3,8015.0,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Combustion or electric motorcycle with non-renewable source charging,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,0,DATATHON,2.0
1172,1172,2419,Man,Polytechnic School of Engineering of Vilanova i la Geltrú (EPSEVG),Fourth,5,8770.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,0,0,0,1,0,0,0,DATATHON,2.0
1176,1176,2425,Man,School of Engineering of Barcelona East (EEBE),Fourth,5,8031.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,No,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,1,0,0,0,0,0,1,DATATHON,2.0
1177,1177,2434,Man,Polytechnic University School of Building of Barcelona (EPSEB),Fourth,5,8014.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,0,DATATHON,2.0
1182,1182,2453,Man,School of Engineering of Barcelona East (EEBE),First,3,8820.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,0,0,0,0,1,DATATHON,2.0
1184,1184,2456,Man,Polytechnic School of Engineering of Manresa (EPSEM),Fourth,3,8250.0,Combustion or electric motorcycle with non-renewable source charging,DATATHON,DATATHON,Yes,DATATHON,DATATHON,DATATHON,1,0,1,0,0,0,0,DATATHON,2.0
1185,1185,2460,Man,Polytechnic School of Engineering of Vilanova i la Geltrú (EPSEVG),Fourth,3,8784.0,DATATHON,DATATHON,Combustion or electric motorcycle with non-renewable source charging,Yes,DATATHON,DATATHON,DATATHON,1,1,0,0,0,0,0,DATATHON,2.0
1189,1189,2468,Woman,School of Architecture of Vallès (ETSAV),Fourth,4,8225.0,Scooter (or other micro-mobility devices) with non-renewable charging,"Combustion vehicle (non-plug-in hybrid, electric or plug-in hybrid with non-renewable source charging),",FGC,Yes,DATATHON,DATATHON,DATATHON,0,1,0,0,0,0,0,DATATHON,1.6666666666666667
